P08908 5ht1a_human
H2NDH0 h2ndh0_ponab
C5HF28 c5hf28_loxaf
S4UU35 s4uu35_fulga
C5I7V6 c5i7v6_lagob
G1N3G1 g1n3g1_melga
Q9TTQ9 gpr83_canfa
P79113 npy2r_bovin
G3WE43 g3we43_sarha
G3UVT8 g3uvt8_mouse
F8R8T8 f8r8t8_9neob
A0A088SB39 a0a088sb39_9neob
Q9BG44 q9bg44_erico
G5CVV1 g5cvv1_phoph
Q5XPV4 q5xpv4_angja
G8EW83 g8ew83_9tele
M3W129 m3w129_felca
B9UM24 b9um24_rat
Q7T2J8 q7t2j8_phyfs
W5NNV9 w5nnv9_lepoc
D2H1K9 d2h1k9_ailme
A0A059V8X8 a0a059v8x8_bovin
A0A068LJW2 a0a068ljw2_scomx
W5PVX9 w5pvx9_sheep
K4GTN9 k4gtn9_9saur
Q09J20 q09j20_macmu
I7DER1 i7der1_9cich
H0ZQE9 h0zqe9_taegu
F6R0L9 f6r0l9_horse
F8R021 f8r021_9gall
X5DYW6 x5dyw6_canla
F7G9B8 f7g9b8_mondo
K7F719 k7f719_pelsi
F1PRW2 f1prw2_canfa
B9TS22 b9ts22_9tele
A0A096NBJ1 a0a096nbj1_papan
D9ZDE4 d9zde4_bovin
X5JA37 x5ja37_oncmy
Q7T2K5 q7t2k5_phyco
A0A059V7E5 a0a059v7e5_9saur
G1U6H2 g1u6h2_rabit
E1BUA5 e1bua5_chick
G3QXC3 g3qxc3_gorgo
F1N2D2 f1n2d2_bovin
F6PM11 f6pm11_xentr
C7G3N1 c7g3n1_pantr
F7FRZ2 f7frz2_mondo
F7I1N5 f7i1n5_calja
Q2Q8I2 q2q8i2_phyfs
G3VGI0 g3vgi0_sarha
F1R771 b3dkn8_danre
D8V2C3 d8v2c3_9neob
F7IK75 f7ik75_calja
F7BTW3 f7btw3_macmu
G1KHD0 g1khd0_anoca
Q864K5 mshr_allni
I6WAW2 i6waw2_acrar
F1SRW2 f1srw2_pig
K4GQX6 k4gqx6_xanvi
K4HHA7 k4hha7_9saur
G1KBH3 g1kbh3_anoca
O97962 ccr5_rhiav
G3RVY4 g3rvy4_gorgo
H2QNC5 h2qnc5_pantr
H2PYJ1 h2pyj1_pantr
U3KIG6 u3kig6_fical
F2XHA4 f2xha4_9gobi
G3M6C1 g3m6c1_myrfa
F6XPK0 f6xpk0_calja
B9TS14 b9ts14_9tele
G8JCB2 g8jcb2_9tele
Q9N142 gnrhr_pig
A0A0B5A8S5 a0a0b5a8s5_lepla
C4TNS8 c4tns8_carau
U3IP25 u3ip25_anapl
G1MMC8 g1mmc8_ailme
I3N7K1 i3n7k1_icttr
Q53AR7 q53ar7_pig
F1S5G3 f1s5g3_pig
I3N0K7 i3n0k7_icttr
G8ENW0 g8enw0_9pass
G5CX68 g5cx68_phycd
H3A548 h3a548_latch
W5ZXR1 w5zxr1_salat
A0A0D3RZK3 a0a0d3rzk3_9saur
Q646C7 t2r41_panpa
B3VPA6 b3vpa6_caimo
F7CLK8 f7clk8_horse
J9P0L8 j9p0l8_canfa
G8JCA2 g8jca2_9tele
G4XKJ2 g4xkj2_9saur
Q8CAU3 q8cau3_mouse
I3N551 i3n551_icttr
K4GTI3 k4gti3_9saur
D3ZIH1 d3zih1_rat
Q9TUV7 q9tuv7_9prim
G1NRN1 g1nrn1_melga
F1NUT3 f1nut3_chick
Q3HS34 q3hs34_chick
F6YBG4 f6ybg4_calja
D3JHF4 d3jhf4_9saur
A0A0D9RYT3 a0a0d9ryt3_chlsb
E2RA91 e2ra91_canfa
G3S902 g3s902_gorgo
F7IB90 f7ib90_calja
Q864G3 mshr_aloca
A4KTS0 a4kts0_9neob
I6VFK1 i6vfk1_9saur
E9KW66 e9kw66_9saur
H3BI48 h3bi48_latch
F7E8R9 f7e8r9_xentr
A0A096NB56 a0a096nb56_papan
A5JTX8 a5jtx8_9gall
B1P8K1 b1p8k1_dauma
H2QYU3 h2qyu3_pantr
H3A1N7 h3a1n7_latch
D2HT76 d2ht76_ailme
A8QXS1 a8qxs1_treor
K9LJ03 k9lj03_9saur
G3QEG7 g3qeg7_gorgo
P48302 ednrb_mouse
D2H3B2 d2h3b2_ailme
M9MSW3 m9msw3_9rode
Q4QXU4 mrgx2_trafr
K4GRM3 k4grm3_9saur
G3UL01 g3ul01_loxaf
G5CVN3 g5cvn3_escro
M0R5B5 m0r5b5_rat
Q7TNN4 q7tnn4_mouse
F6Z578 f6z578_macmu
Q61439 drd5_mouse
A0A0A7EVJ0 a0a0a7evj0_9cich
X2FBT6 x2fbt6_anscy
O55197 c3ar_rat
H0Z7Q4 h0z7q4_taegu
U3CKY1 u3cky1_calja
A0A089FKZ2 a0a089fkz2_9saur
Q8R428 fshr_cavpo
H9G4R9 h9g4r9_anoca
K4GQP8 k4gqp8_9saur
P28682 opsb_chick
A7UKT0 a7ukt0_danre
A4KTU7 a4ktu7_9neob
Q33E03 q33e03_marfo
A4KTT1 a4ktt1_9neob
D7PQZ0 d7pqz0_melme
F7EGQ4 f7egq4_xentr
I0CJX7 i0cjx7_9tele
A8B6Y5 a8b6y5_horse
C0RW24 c0rw24_dasno
B9TS17 b9ts17_punco
W5ZXT4 w5zxt4_9sala
Q63792 aa3r_rat
F1MY53 f1my53_bovin
Q32PR7 q32pr7_danre
G3PZE3 g3pze3_gasac
D1GLS3 d1gls3_dicla
K4GUS9 k4gus9_colva
Q5XGP4 q5xgp4_xenla
K4HGX3 k4hgx3_xenun
H2B5P2 h2b5p2_lepti
F2W8B2 f2w8b2_rat
F6UJF5 f6ujf5_mondo
G3M732 g3m732_myrfa
C7BBU2 c7bbu2_9neob
Q646E7 t2r16_papha
G9CTS4 g9cts4_cersi
D7PCX7 d7pcx7_perle
Q05AD1 q05ad1_mouse
H5ZU12 h5zu12_9gobi
F7EEQ8 f7eeq8_xentr
G3WDP1 g3wdp1_sarha
F7EW82 f7ew82_ornan
H0WND8 h0wnd8_otoga
G5CVU2 g5cvu2_tupmi
F1QAS7 f1qas7_danre
C7BBS6 c7bbs6_9neob
C5H7Y9 c5h7y9_nycce
A6XJY5 a6xjy5_9neob
T1QUX0 t1qux0_9tele
G1L8K1 g1l8k1_ailme
E9KVY3 e9kvy3_annpu
G1LQK6 g1lqk6_ailme
E6ZFD5 e6zfd5_dicla
W5NLW3 w5nlw3_lepoc
R4GH78 r4gh78_chick
G3STF1 g3stf1_loxaf
A0A096N020 a0a096n020_papan
H9GLB4 h9glb4_anoca
F7A537 f7a537_macmu
P34976 agtr1_rabit
F7AFU4 f7afu4_horse
Q2WGM1 q2wgm1_macmu
A0A0C5PY31 a0a0c5py31_9chir
G1NR94 g1nr94_melga
A0A0B8RZI7 a0a0b8rzi7_pig
B4Z6E4 b4z6e4_alela
F7AWN6 f7awn6_horse
A0A089GLZ9 a0a089glz9_9saur
F7D1X9 f7d1x9_ornan
Q8SQ91 q8sq91_nycth
H2USZ0 h2usz0_takru
Q9EPB7 gpr88_mouse
G1LIS6 g1lis6_ailme
Q2ABD4 q2abd4_canfa
D4A8L8 d4a8l8_rat
I3KYK2 i3kyk2_oreni
F5CB64 f5cb64_lagob
A0A0C4ZHF4 a0a0c4zhf4_horse
H2Q4K4 h2q4k4_pantr
D3Z171 d3z171_mouse
G3SUV5 g3suv5_loxaf
H0ZMU0 h0zmu0_taegu
M3XL84 m3xl84_latch
D2WK19 d2wk19_tapme
K7B3P4 k7b3p4_pantr
Q62805 galr1_rat
F6R2X4 f6r2x4_ornan
D9MNA5 d9mna5_myolu
I3XHQ9 i3xhq9_chick
K4GRE2 k4gre2_9saur
W5M678 w5m678_lepoc
F6QWD7 f6qwd7_horse
U6CWJ5 u6cwj5_neovi
C0KVB6 c0kvb6_pantr
H3ANW3 h3anw3_latch
A2TAF3 a2taf3_9neob
X2CFA5 x2cfa5_macne
U6DZ50 u6dz50_neovi
G3V848 g3v848_rat
B6VJS3 b6vjs3_mouse
K0IWS8 k0iws8_marzi
U5Y9K5 u5y9k5_9neob
Q9U7D5 acm3_caeel
I3LCZ4 i3lcz4_pig
Q9TUT6 q9tut6_macne
F6Z7L5 f6z7l5_horse
T1QVR9 t1qvr9_9pleu
K9LIN0 k9lin0_9saur
H2ND32 h2nd32_ponab
Q90674 lshr_chick
Q8HXU8 q8hxu8_cabun
V9MH13 v9mh13_9tele
P54833 adrb2_canfa
G8JC91 g8jc91_9tele
F1RJE6 f1rje6_pig
M3Y0A8 m3y0a8_muspf
V8N3E7 v8n3e7_ophha
Q8CHL0 fzd5_rat
G1TLA3 g1tla3_rabit
H0XR42 h0xr42_otoga
U3IVJ7 u3ivj7_anapl
Q1ZZG6 q1zzg6_macfa
G1MSI5 g1msi5_melga
M3XYY7 m3xyy7_muspf
B7ZCC9 agrg4_mouse
F7CNU6 f7cnu6_calja
F7CHU1 f7chu1_macmu
E9Q292 e9q292_mouse
D2HB78 d2hb78_ailme
T1QV19 t1qv19_porno
F2XH70 f2xh70_9gobi
H2N8N1 h2n8n1_ponab
O19037 mshr_sheep
G1KQB5 g1kqb5_anoca
Q6E131 q6e131_9pass
M3WCZ8 m3wcz8_felca
G3NPU3 g3npu3_gasac
J7LNU3 j7lnu3_9saur
P58406 hrh3_mouse
Q70JV5 q70jv5_carau
H0XJ55 h0xj55_otoga
J7M485 j7m485_pantr
Q60F97 5ht2c_canfa
O19024 cxcr6_macne
F7CPB3 f7cpb3_macmu
A0A0B4VJJ7 a0a0b4vjj7_baled
U5Y9Y5 u5y9y5_9neob
G3UCR8 g3ucr8_loxaf
P51491 opsb_mouse
K7G810 k7g810_pelsi
I3NBZ2 i3nbz2_icttr
A2TAG9 a2tag9_9amph
F7GSQ0 f7gsq0_macmu
G3WQV4 g3wqv4_sarha
G3UNZ6 g3unz6_melga
Q865E9 mshr_felca
A0A0D9SB59 a0a0d9sb59_chlsb
G1NQP7 g1nqp7_melga
K4GUU1 k4guu1_troha
H2P3U5 h2p3u5_ponab
Q0Q7V7 q0q7v7_perca
H0W732 h0w732_cavpo
V8NW97 v8nw97_ophha
A8CUB0 a8cub0_9neob
A3KFA7 mshr_ponpy
F7DWM0 f7dwm0_macmu
K0ITK7 k0itk7_marzi
Q640C1 q640c1_xenla
G1MWD7 g1mwd7_melga
G3M6G0 g3m6g0_cebal
Q2Y2P0 ccr1_macfa
A0A0A7EWR5 a0a0a7ewr5_9cich
P56515 opsd_rhimb
H0W818 h0w818_cavpo
V5JDL9 v5jdl9_canfa
H2P2I1 h2p2i1_ponab
Q9TV42 ccr5_chlpg
W5K0P6 w5k0p6_astmx
M3Y1L8 m3y1l8_muspf
U3F1N1 u3f1n1_calja
C0KV60 c0kv60_pantr
R0LM19 r0lm19_anapl
H0X6M6 h0x6m6_otoga
A0A0D9SDM3 a0a0d9sdm3_chlsb
G3QIB9 g3qib9_gorgo
K4Q5C3 k4q5c3_cypca
H0W5U6 h0w5u6_cavpo
K4HGC7 k4hgc7_annpu
B6ZGR2 b6zgr2_9muri
A2VDS9 a2vds9_bovin
G8EW94 g8ew94_trihe
A0A0D9SC25 a0a0d9sc25_chlsb
G5CVL0 g5cvl0_calpd
J9NUM1 j9num1_canfa
E9RGE2 e9rge7_ratrt
E9KW14 e9kw14_9saur
F1SBD0 a5gfs7_pig
F6T3B0 f6t3b0_ornan
Q9BG31 q9bg31_tupmi
A4KTS5 a4kts5_9neob
G3W594 g3w594_sarha
G3TDP3 g3tdp3_loxaf
A0A096LV01 a0a096lv01_poefo
G1PF93 g1pf93_myolu
X2CF87 x2cf87_9prim
G3V8W3 g3v8w3_rat
S4UU91 s4uu91_fulgl
F7E412 f7e412_xentr
R9XMP9 r9xmp9_9saur
A0A0D9RHI3 a0a0d9rhi3_chlsb
G3NCG5 g3ncg5_gasac
D7PCX4 d7pcx4_perma
H2RZG6 h2rzg6_takru
J9P651 j9p651_canfa
G1EFK1 g1efk1_notfu
Q6VLX3 ox2r_mouse
A8WGZ5 a8wgz5_xentr
H0XRL4 h0xrl4_otoga
G1MP15 g1mp15_ailme
G3R4A4 g3r4a4_gorgo
V8P2R7 v8p2r7_ophha
Q6YT44 q6yt44_pig
F7BKB8 f7bkb8_ornan
K7EYG5 k7eyg5_pelsi
K4GR17 k4gr17_tupte
G1P8C6 g1p8c6_myolu
M3Z3Y5 m3z3y5_muspf
G3S7B2 g3s7b2_gorgo
G5CVQ4 g5cvq4_megno
F7D1Z1 f7d1z1_xentr
K0IT27 k0it27_marzi
R9TIP8 r9tip8_9saur
Q9N2B4 q9n2b4_ponpy
D3JHG3 d3jhg3_9saur
G5CX67 g5cx67_kogbr
I3MW15 i3mw15_icttr
A3QP09 ts1r2_calpy
F6QIJ0 f6qij0_calja
G1TTE4 g1tte4_rabit
A5PLI3 a5pli3_danre
R0M5R8 r0m5r8_anapl
F1QR90 f1qr90_danre
A3KFA2 a3kfa2_symsy
P35364 5ht5a_rat
M3Z8F0 m3z8f0_muspf
J7MGA8 j7mga8_pantr
F6U4S6 f6u4s6_horse
G3TIF9 g3tif9_loxaf
B8QCP4 b8qcp4_lycca
G8ENV1 g8env1_9pass
P70420 lpar1_rat
F6VC38 f6vc38_calja
H2RDZ7 h2rdz7_pantr
G1MPF6 g1mpf6_ailme
C7BBT4 c7bbt4_bufbu
J7ME54 j7me54_pantr
U3KH57 u3kh57_fical
H3DKJ8 h3dkj8_tetng
K7FB39 k7fb39_pelsi
A0A096MKI0 a0a096mki0_rat
G8HV90 g8hv90_9neob
C6ENV5 c6env5_rante
F7HFA2 f7hfa2_macmu
Q2KTE1 cx3c1_rabit
G1RYG6 g1ryg6_nomle
P29276 aa2br_rat
M3WM93 m3wm93_felca
H0XPZ0 h0xpz0_otoga
M3YS31 m3ys31_muspf
B6ZGR3 b6zgr3_muspa
G3WTM7 g3wtm7_sarha
Q09J48 q09j48_macmu
I0CKC0 i0ckc0_ponpy
D2JZB6 d2jzb6_pusca
E5G673 e5g673_9pass
G3WP07 g3wp07_sarha
P49059 fshr_pig
Q91ZY2 hrh4_mouse
Q9BFG7 q9bfg7_chodi
M3X3W7 m3x3w7_felca
M3XD37 m3xd37_felca
H0ZSD3 h0zsd3_taegu
F1NPD4 f1npd4_chick
F6RC50 f6rc50_horse
J9NVD6 j9nvd6_canfa
F6M1M1 f6m1m1_9tele
G1NI86 g1ni86_melga
M3Y2U3 m3y2u3_muspf
V8NPB3 v8npb3_ophha
I3MKP0 i3mkp0_icttr
M9PNV4 m9pnv4_chick
G1NRY6 g1nry6_melga
Q6H2Y3 brs3_macmu
A2TAI5 a2tai5_9sala
F6US41 f6us41_macmu
Q9TUR0 q9tur0_cermo
G3M729 g3m729_tarro
Q8MK54 q8mk54_chavi
W8W3K1 w8w3k1_rat
H9GR91 h9gr91_anoca
M7ARP8 m7arp8_chemy
W8W3G5 w8w3g5_rat
D6QXP4 d6qxp4_tarma
F1PSU8 f1psu8_canfa
D8L646 d8l646_atege
G1QMA7 g1qma7_nomle
F6M1J7 f6m1j7_9tele
D7PQY0 d7pqy0_nycpr
C7BBQ9 c7bbq9_9neob
W0T0L9 w0t0l9_caphi
H0WIS8 h0wis8_otoga
E2R3T5 e2r3t5_canfa
D2HK54 d2hk54_ailme
J7MB70 j7mb70_pantr
Q66Y41 q66y41_holma
H0Z5K4 h0z5k4_taegu
G8EW78 g8ew78_9tele
G3QG75 g3qg75_gorgo
I7DHT4 i7dht4_tromr
D4A5C4 d4a5c4_rat
H0ZC68 h0zc68_taegu
G3VL76 g3vl76_sarha
D7PQY5 d7pqy5_mydma
Q01776 gnrhr_mouse
G5CVR5 g5cvr5_octgl
Q9DG06 q9dg06_chick
A0A087XKP8 a0a087xkp8_poefo
T1QVQ9 t1qvq9_9tele
Q9GLX8 bkrb2_pig
Q5R949 acm1_ponab
H2PY65 h2py65_pantr
K4K677 k4k677_utast
F6PW41 f6pw41_macmu
W5LT62 w5lt62_astmx
J7MDY2 j7mdy2_pantr
M3Y0E8 m3y0e8_muspf
G3TML3 g3tml3_loxaf
Q9MZP9 q9mzp9_nasla
C5I7V7 c5i7v7_lagol
W5U6V2 w5u6v2_ictpu
L0ASB0 l0asb0_9pass
F1T2T9 f1t2t9_macfu
U3I224 u3i224_anapl
A0A096M8Z9 a0a096m8z9_poefo
H3CQH7 h3cqh7_tetng
Q64326 acthr_mouse
F6X2T0 f6x2t0_horse
G1PUZ3 g1puz3_myolu
G3S6E8 g3s6e8_gorgo
K4GR40 k4gr40_exipl
Q3UN46 npy4r_mouse
D9MN73 d9mn73_cynsp
H0WU50 h0wu50_otoga
F7C7N3 f7c7n3_xentr
G3V948 crfr2_rat
H0W8F9 h0w8f9_cavpo
G3RLV7 g3rlv7_gorgo
Q80T34 ogr1_mouse
B1P8K5 b1p8k5_eulfu
A8CUS2 a8cus2_9neob
A0A023NLL7 a0a023nll7_cropr
G3SHK8 g3shk8_gorgo
B4Z6F1 b4z6f1_arein
Q33E13 q33e13_neovi
A0A087XTE2 a0a087xte2_poefo
E9QMC2 e9qmc2_mouse
W5KSS3 w5kss3_astmx
Q1AG23 q1ag23_rabit
I0CJX2 i0cjx2_9tele
I6UXL2 i6uxl2_9saur
H7BS00 h7bs00_9tele
D9MNA4 d9mna4_minfu
H2P956 h2p956_ponab
G3T989 g3t989_loxaf
O08556 ccr5_rat
U3I2S4 u3i2s4_anapl
G1RBV7 g1rbv7_nomle
G3QQA1 g3qqa1_gorgo
B4Z6J7 b4z6j7_geoca
C5HF19 c5hf19_9prim
G3VBA0 g3vba0_sarha
H2U378 h2u378_takru
P30873 ssr1_mouse
H9GNZ3 h9gnz3_anoca
M3WI88 m3wi88_felca
U3KI94 u3ki94_fical
D8KZS8 d8kzs8_pantr
H3AEK0 h3aek0_latch
Q645Z6 t2r31_gorgo
Q7T2K0 q7t2k0_phypc
G1U5L8 g1u5l8_rabit
Q9TV45 ccr5_cerns
P60020 5ht1b_pantr
B6E4I3 b6e4i3_9tele
Q9TUT2 q9tut2_macne
B5LYK8 b5lyk8_anapl
P28564 5ht1b_rat
G3T047 g3t047_loxaf
Q5IS66 5ht2c_pantr
M3YAE7 m3yae7_muspf
K4NW71 k4nw71_pig
H9NE99 h9ne99_falru
K4GQY6 k4gqy6_lacmt
I3NAC5 i3nac5_icttr
A2TAE4 a2tae4_9amph
Q6Q3F8 q6q3f8_squac
A3KF40 a3kf40_maccy
H0X9F2 h0x9f2_otoga
B4Z6T0 b4z6t0_upuep
G1MT82 g1mt82_melga
K4NRZ6 k4nrz6_bubbu
F6X3F4 f6x3f4_macmu
G3R142 g3r142_gorgo
W5LTZ5 w5ltz5_astmx
G1SUQ1 g1suq1_rabit
Q544B4 q544b4_mouse
I3LTM1 i3ltm1_pig
A0A0D9R8H1 a0a0d9r8h1_chlsb
Q66Y09 q66y09_holma
W0HDJ8 w0hdj8_kobva
K4GRD5 k4grd5_latco
G5E5H9 g5e5h9_bovin
D7PRN2 d7prn2_epime
A8CUB5 a8cub5_anaae
M1RMA9 m1rma9_canfa
H7BS22 h7bs22_sahde
O62792 opsd_glome
Q9Z282 gp132_mouse
V5JDL4 v5jdl4_canfa
H6BFP6 h6bfp6_ctest
D9MN86 d9mn86_megly
U3KIH0 u3kih0_fical
G1SSW3 g1ssw3_rabit
G3M7U8 g3m7u8_9rode
H1A584 h1a584_taegu
D8KZT4 d8kzt4_rat
O97665 ccr8_macmu
A0A0D9SCU9 a0a0d9scu9_chlsb
G7NJJ1 g7njj1_macmu
B0V2S3 b0v2s3_danre
H0W600 h0w600_cavpo
A0A0A0MXU9 a0a0a0mxu9_rat
U5U5H1 u5u5h1_9euth
K7EY78 k7ey78_pelsi
H3ATE7 h3ate7_latch
D2JZB7 d2jzb7_phofa
I0CJW6 i0cjw6_9tele
D2YYM4 d2yym4_9neob
M3Z5T8 m3z5t8_muspf
F6WZV3 f6wzv3_xentr
F7DFS4 f7dfs4_horse
Q95NC3 ccr5_miota
K4K6U5 k4k6u5_utast
A0A023Y9L1 a0a023y9l1_9prim
Q9TU31 pth1r_canfa
Q75NA2 q75na2_mouse
A0A096MQT8 a0a096mqt8_papan
H0XM01 h0xm01_otoga
C1PI32 c1pi32_bovin
C6ENV2 c6env2_ranar
F1LQR7 f1lqr7_rat
Q645S3 q645s3_macmu
I3MSA0 i3msa0_icttr
A4IGS9 a4igs9_xentr
E5F1H3 e5f1h3_pig
G1KGY4 g1kgy4_anoca
K4GQQ7 k4gqq7_9saur
P60894 gpr85_mouse
A0A0A0MPD8 a0a0a0mpd8_canfa
G1TSU8 g1tsu8_rabit
G1SXX7 g1sxx7_rabit
I3M461 i3m461_icttr
F2Y4R6 f2y4r6_balom
A2VDV6 a2vdv6_bovin
F6Y3T7 f6y3t7_horse
A5JTY0 a5jty0_lopdi
G3M7T3 g3m7t3_mepme
G1SEI7 g1sei7_rabit
A0A0E3IS33 a0a0e3is33_sorex
W5L0R0 w5l0r0_astmx
D5MR28 d5mr28_mouse
K4HGX1 k4hgx1_9saur
E2RBT8 e2rbt8_canfa
Q3U5L7 q3u5l7_mouse
U3BRS7 u3brs7_calja
B3VRB9 b3vrb9_ponpy
Q95125 ta2r_bovin
G1RFF1 g1rff1_nomle
G3M6D3 g3m6d3_ailfu
Q80WA1 q80wa1_chain
Q9JIP5 fzd2_mouse
G3T5L8 g3t5l8_loxaf
A0A088SD21 a0a088sd21_phybu
P21761 trfr_mouse
B4Z6F2 b4z6f2_aytam
F7C7K9 f7c7k9_xentr
B9TS40 b9ts40_9tele
G3WWF6 g3wwf6_sarha
B5U474 b5u474_cygol
F6WBI9 f6wbi9_calja
K7EYC7 k7eyc7_pelsi
L7SY20 l7sy20_9saur
U3ITT2 u3itt2_anapl
K4HGY2 k4hgy2_9saur
E9Q7D3 e9q7d3_mouse
F6M1L1 f6m1l1_9tele
G3UGQ8 g3ugq8_loxaf
G3QRA3 g3qra3_gorgo
A0A097HUE1 a0a097hue1_oreni
H9H3P8 h9h3p8_macmu
X5KIR3 x5kir3_9chon
F7FCN4 f7fcn4_calja
G1KS56 g1ks56_anoca
Q14BI2 grm2_mouse
H0YT13 h0yt13_taegu
P55167 mshr_chick
F6SIB8 f6sib8_horse
U3KJG3 u3kjg3_fical
F1NM68 f1nm68_chick
Q8HZN9 bkrb1_pig
G1TEN6 g1ten6_rabit
G5CVV6 g5cvv6_capmr
G1TW62 g1tw62_rabit
E1BKZ6 e1bkz6_bovin
J7MBA5 j7mba5_pantr
D8V362 d8v362_bubbu
Q99P50 ghsr_mouse
F1P424 f1p424_chick
Q153T4 q153t4_9cara
F1NWK9 f1nwk9_chick
K4HGI6 k4hgi6_sauat
A0A0D9SCS8 a0a0d9scs8_chlsb
X2F9Z7 x2f9z7_anscy
Q6QZT0 q6qzt0_ansce
R0JNG8 r0jng8_anapl
J7LMC5 j7lmc5_9saur
Q1AG30 q1ag30_rabit
U3I2D6 u3i2d6_anapl
Q63414 pacr_rat
Q9BG24 q9bg24_artja
F8R8S5 f8r8s5_inccm
I0CJY1 i0cjy1_9tele
U3EXR7 u3exr7_calja
F7FSW7 f7fsw7_calja
F6YJ89 f6yj89_mouse
G1Q2W5 g1q2w5_myolu
A0A0A0N2W6 a0a0a0n2w6_thuth
A0A0C5PNB0 a0a0c5pnb0_9chir
Q9BG19 q9bg19_turtr
Q8CGI5 q8cgi5_mouse
A0A0D9RGX0 a0a0d9rgx0_chlsb
Q95KU1 opsd_felca
E7D101 e7d101_lepca
V8NIM2 v8nim2_ophha
E9RGD6 e9rgd2_ratta
X1WHK4 x1whk4_danre
B4Z6N0 b4z6n0_panha
H2Q875 h2q875_pantr
F6KBA0 f6kba0_caphi
I6Q098 i6q098_9saur
A6MN30 a6mn30_eptfu
D9YLA1 d9yla1_9neob
Q9BG04 q9bg04_choho
F6VJZ4 f6vjz4_horse
F7G0N3 f7g0n3_calja
G1TZY2 g1tzy2_rabit
J7M453 j7m453_pantr
T2MH27 t2mh27_hydvu
F6UA55 f6ua55_ornan
G3S5U0 g3s5u0_gorgo
M3Y3E3 m3y3e3_muspf
Q3UUR3 q3uur3_mouse
H2QQ94 h2qq94_pantr
B8QCQ4 b8qcq4_xenun
V8NRN8 v8nrn8_ophha
Q7SZL3 q7szl3_xenla
T1QU85 t1qu85_chaau
G3WHG1 g3whg1_sarha
I1ZBR6 i1zbr6_pig
H6TQC5 h6tqc5_9saur
F7CEI3 f7cei3_calja
Q6W9C6 q6w9c6_dryni
G1TLM4 g1tlm4_rabit
F6RJT2 f6rjt2_horse
Q862A8 gpbar_rabit
G1KX65 g1kx65_anoca
A5JTY2 a5jty2_loped
Q8BVF1 q8bvf1_mouse
E5G680 e5g680_9pass
F6QJ63 f6qj63_horse
K7FH11 k7fh11_pelsi
S5G3R5 s5g3r5_podmu
A0A0D9SCB0 a0a0d9scb0_chlsb
P35353 crfr1_rat
U3I3B5 u3i3b5_anapl
F7I762 f7i762_calja
Q09J40 q09j40_macmu
G1R6U6 g1r6u6_nomle
M3XRE0 m3xre0_muspf
F6VS22 f6vs22_xentr
I6Q0T8 i6q0t8_9saur
F7C4A6 f7c4a6_ornan
A0A0A7EVF3 a0a0a7evf3_hapbu
I1VSA9 i1vsa9_9sylv
A0A0D9RMG5 a0a0d9rmg5_chlsb
G3X6P6 g3x6p6_bovin
A0A077B2Z4 a0a077b2z4_rhicu
Q9ES90 gpr35_mouse
K4GR96 k4gr96_chacy
D8V3A1 d8v3a1_bubbu
Q76MS7 hrh2_gorgo
F1SX22 f1sx22_pumco
H2LNB7 h2lnb7_oryla
D3ZU32 d3zu32_rat
K4GRC5 k4grc5_elgmu
H0WAY8 h0way8_cavpo
Q7M706 tr103_mouse
M3VUE8 m3vue8_felca
D2GYP2 d2gyp2_ailme
K4GRI8 k4gri8_umasc
S4UWJ0 s4uwj0_pagni
W6C960 w6c960_zoovi
U3K6I9 u3k6i9_fical
M3YEW9 m3yew9_muspf
Q9JI40 vipr1_mouse
Q58TG9 q58tg9_9gobi
I3MZV6 i3mzv6_icttr
G3XA00 g3xa00_mouse
I3MTF8 i3mtf8_icttr
G3QSB5 g3qsb5_gorgo
S9WSR7 s9wsr7_9ceta
O19012 ada2b_erieu
M3WMD5 m3wmd5_felca
Q63960 glr_mouse
F2Y511 f2y511_turad
G1KAG8 g1kag8_anoca
A7UD99 a7ud99_cluha
C5I809 c5i809_rucdu
I3MWL9 i3mwl9_icttr
U3FRU9 u3fru9_calja
B6ZGQ5 b6zgq5_9muri
Q9BFD8 q9bfd8_nycth
H2Q390 h2q390_pantr
U5YA03 u5ya03_9neob
B9VUC5 b9vuc5_caimo
G3W4F3 g3w4f3_sarha
G3US87 g3us87_melga
C0M5C5 c0m5c5_abrbe
H0W7K7 h0w7k7_cavpo
F6XEW9 f6xew9_calja
P02700 opsd_sheep
R9TMD7 r9tmd7_9saur
I6PZY5 i6pzy5_9saur
V5UZT2 v5uzt2_9saur
H2ULE1 h2ule1_takru
J7ME22 j7me22_pantr
Q4AEG4 pkr1_rat
P28190 aa1r_bovin
F7A5Y9 f7a5y9_macmu
M4AXS3 m4axs3_xipma
A0A059U1F6 a0a059u1f6_bosmu
G8ENV2 g8env2_9pass
E9KW50 e9kw50_9saur
H2ZVK3 h2zvk3_latch
U3JC17 u3jc17_fical
X5HVA7 x5hva7_alopi
Q33E02 q33e02_musal
D9MNA0 d9mna0_9chir
F5CB58 f5cb58_steat
Q64121 prlhr_rat
O77700 ada2b_bovin
M3Z4V6 m3z4v6_muspf
F7BLJ5 f7blj5_calja
P35371 brs3_cavpo
F7FQZ1 f7fqz1_calja
G3M7U1 g3m7u1_galvr
E2QZY2 e2qzy2_canfa
P79807 opsd_myrvi
D0MQ51 d0mq51_danre
A0A0D9S803 a0a0d9s803_chlsb
L0GCM7 l0gcm7_9saur
H2R515 h2r515_pantr
